"","unique_ID","ethR_1","ethR_2","ethR_3","ethR_4","ethR_5","ethR_6","ethP_1","ethP_2","ethP_3","ethP_4","ethP_5","ethP_6","ethB_1","ethB_2","ethB_3","ethB_4","ethB_5","ethB_6","finR_1","finR_2","finR_3","finR_4","finR_5","finR_6","finP_1","finP_2","finP_3","finP_4","finP_5","finP_6","finB_1","finB_2","finB_3","finB_4","finB_5","finB_6","heaR_1","heaR_2","heaR_3","heaR_4","heaR_5","heaR_6","heaP_1","heaP_2","heaP_3","heaP_4","heaP_5","heaP_6","heaB_1","heaB_2","heaB_3","heaB_4","heaB_5","heaB_6","recR_1","recR_2","recR_3","recR_4","recR_5","recR_6","recP_1","recP_2","recP_3","recP_4","recP_5","recP_6","recB_1","recB_2","recB_3","recB_4","recB_5","recB_6","socR_1","socR_2","socR_3","socR_4","socR_5","socR_6","socP_1","socP_2","socP_3","socP_4","socP_5","socP_6","socB_1","socB_2","socB_3","socB_4","socB_5","socB_6","Gender","Birth_Year","Marital_Status","Children","Race_7","Ethnicity","Edu_ori","Political","Political_TEXT","Income","Employment","Race","Age","SOEPgen","SOEPdri","SOEPfin","SOEPrec","SOEPocc","SOEPhea","Education","subsample"
"1","152068",1,1,2,2,2,1,5,7,4,3,5,2,3,2,3,1,1,4,1,4,1,2,1,4,7,2,6,5,7,3,5,2,6,4,5,3,1,1,1,1,5,2,3,5,4,4,2,3,1,1,1,1,1,1,2,1,1,2,1,1,2,3,4,2,2,3,2,2,2,2,2,2,5,3,4,2,4,3,1,2,2,2,2,2,1,1,6,2,1,3,1,1982,"3",3,"","2",2,"Rep.","",4,"6","3",34,NA,NA,NA,NA,NA,NA,"1","B"
"2","152069",7,7,4,4,5,5,7,4,5,6,7,5,5,6,5,7,7,6,5,5,7,4,7,7,5,6,5,7,7,6,5,6,5,7,7,6,7,6,5,7,7,5,5,6,5,7,7,6,5,6,5,7,7,6,7,7,4,4,5,5,7,7,4,4,5,5,7,7,4,4,5,5,7,7,4,4,5,5,7,7,4,4,5,5,7,7,4,4,5,5,1,1990,"3",1,"","2",4,"Dem.","",2,"2","3",26,NA,NA,NA,NA,NA,NA,"2","B"
"3","152072",1,3,1,5,1,2,6,5,6,5,7,5,4,4,4,1,3,5,5,4,5,4,5,4,7,4,7,4,7,4,5,4,5,4,5,4,6,6,3,1,1,1,5,7,6,7,7,6,3,4,1,1,1,1,6,1,1,2,5,1,3,7,7,4,4,7,4,1,1,4,4,4,7,6,7,6,4,6,1,3,2,4,4,4,4,4,7,4,5,6,1,1989,"1",0,"","2",2,"Dem.","",1,"4","3",27,NA,NA,NA,NA,NA,NA,"1","B"
"4","152074",1,2,1,1,1,1,7,6,7,4,7,2,6,4,5,1,1,3,1,1,1,1,1,1,7,4,7,7,7,6,3,4,4,2,3,4,1,1,1,1,5,1,7,7,7,7,6,7,1,1,1,1,3,1,1,1,1,1,1,1,7,7,7,6,7,6,1,1,1,1,1,2,7,6,7,7,1,1,2,4,4,4,5,7,3,3,7,3,1,1,1,1979,"3",1,"","2",2,"Rep.","",3,"1","3",37,NA,NA,NA,NA,NA,NA,"1","B"
"5","152075",1,1,1,2,1,1,3,4,6,2,6,2,5,2,3,2,2,4,3,6,2,6,5,5,2,2,2,3,2,4,2,5,2,4,2,5,2,1,1,1,3,3,5,6,3,6,3,3,2,3,2,1,2,3,3,1,1,2,2,1,3,4,4,3,3,6,4,3,3,3,3,3,6,5,6,5,7,6,2,3,4,4,2,4,2,2,4,3,4,5,2,1982,"1",0,"","2",5,"Rep.","",4,"1","3",34,NA,NA,NA,NA,NA,NA,"2","B"
"6","152076",1,2,1,1,1,2,2,3,3,2,2,2,3,3,3,2,2,4,1,1,1,1,1,1,4,5,3,4,3,5,2,2,2,2,2,2,1,2,1,1,1,5,5,4,4,4,3,3,2,2,1,1,2,2,5,1,1,2,2,1,2,3,3,2,2,3,3,2,2,2,2,3,7,7,7,7,7,7,1,2,3,2,1,1,2,2,5,3,3,6,2,1987,"1",0,"","2",5,"Ind.","",3,"1","3",29,NA,NA,NA,NA,NA,NA,"2","B"
"7","152077",2,3,1,3,1,5,6,5,6,5,6,2,4,3,1,2,1,6,2,5,1,3,2,5,5,2,5,3,4,4,4,4,4,4,4,4,5,2,1,1,2,2,3,7,5,5,5,5,2,3,1,1,1,2,7,1,1,1,1,1,1,5,5,5,5,5,6,2,2,2,2,2,7,6,6,6,6,6,1,2,3,3,4,4,2,2,6,4,6,6,2,1989,"1",0,"","2",2,"Dem.","",2,"5","3",27,NA,NA,NA,NA,NA,NA,"1","B"
"8","152078",1,1,1,5,1,1,6,7,2,1,7,4,4,4,4,1,1,3,1,5,1,1,1,1,7,2,7,4,7,5,1,7,1,4,1,4,1,6,1,1,5,1,3,3,4,7,2,7,1,3,1,1,3,1,1,1,1,1,1,1,1,7,6,4,4,3,1,1,1,1,1,1,5,2,4,6,7,7,1,3,4,2,5,7,2,3,4,4,4,4,2,1979,"3",0,"","2",5,"Rep.","",6,"1","3",37,NA,NA,NA,NA,NA,NA,"2","B"
"9","152079",2,1,2,5,1,1,1,6,5,4,6,3,1,4,7,2,3,2,2,4,2,3,3,2,2,4,3,2,4,4,4,4,2,3,3,2,3,6,3,3,5,5,3,4,3,2,3,4,3,6,4,2,5,4,3,5,2,4,5,3,4,5,3,2,4,4,3,5,3,2,4,5,3,5,3,6,3,6,4,5,2,4,4,5,5,6,3,2,5,3,2,1985,"1",0,"","2",5,"Dem.","",3,"1","1",31,NA,NA,NA,NA,NA,NA,"2","B"
"10","152080",1,1,1,1,1,1,7,7,7,7,7,6,4,4,4,1,1,7,1,4,1,5,1,3,7,5,7,4,7,5,7,5,7,5,7,5,6,3,1,1,1,5,1,7,7,7,7,5,4,1,1,1,1,1,7,1,5,1,1,1,2,7,7,7,7,7,5,1,1,1,1,1,5,3,7,5,5,2,3,3,4,4,2,6,1,2,7,2,4,4,2,1980,"3",3,"","2",5,"Dem.","",4,"1","3",36,NA,NA,NA,NA,NA,NA,"2","B"
