"","original","new"
"1","socR_4","R1"
"2","recR_2","R2"
"3","socR_2","R3"
"4","recR_3","R4"
"5","socR_6","R5"
"6","ethR_5","R6"
"7","finR_2","R7"
"8","finR_4","R8"
"9","finR_5","R9"
"10","finR_1","R10"
"11","ethR_6","R11"
"12","heaR_4","R12"
"13","recR_1","R13"
"14","socR_5","R14"
"15","ethR_4","R15"
"16","socR_3","R16"
"17","ethR_3","R17"
"18","ethR_2","R18"
"19","finR_6","R19"
"20","socR_1","R20"
"21","finR_3","R21"
"22","recR_6","R22"
"23","heaR_3","R23"
"24","recR_5","R24"
"25","heaR_6","R25"
"26","heaR_1","R26"
"27","ethR_1","R27"
"28","recR_4","R28"
"29","heaR_2","R29"
"30","heaR_5","R30"
"31","socP_4","P1"
"32","recP_2","P2"
"33","socP_2","P3"
"34","recP_3","P4"
"35","socP_6","P5"
"36","ethP_5","P6"
"37","finP_2","P7"
"38","finP_4","P8"
"39","finP_5","P9"
"40","finP_1","P10"
"41","ethP_6","P11"
"42","heaP_4","P12"
"43","recP_1","P13"
"44","socP_5","P14"
"45","ethP_4","P15"
"46","socP_3","P16"
"47","ethP_3","P17"
"48","ethP_2","P18"
"49","finP_6","P19"
"50","socP_1","P20"
"51","finP_3","P21"
"52","recP_6","P22"
"53","heaP_3","P23"
"54","recP_5","P24"
"55","heaP_6","P25"
"56","heaP_1","P26"
"57","ethP_1","P27"
"58","recP_4","P28"
"59","heaP_2","P29"
"60","heaP_5","P30"
"61","socB_4","B1"
"62","recB_2","B2"
"63","socB_2","B3"
"64","recB_3","B4"
"65","socB_6","B5"
"66","ethB_5","B6"
"67","finB_2","B7"
"68","finB_4","B8"
"69","finB_5","B9"
"70","finB_1","B10"
"71","ethB_6","B11"
"72","heaB_4","B12"
"73","recB_1","B13"
"74","socB_5","B14"
"75","ethB_4","B15"
"76","socB_3","B16"
"77","ethB_3","B17"
"78","ethB_2","B18"
"79","finB_6","B19"
"80","socB_1","B20"
"81","finB_3","B21"
"82","recB_6","B22"
"83","heaB_3","B23"
"84","recB_5","B24"
"85","heaB_6","B25"
"86","heaB_1","B26"
"87","ethB_1","B27"
"88","recB_4","B28"
"89","heaB_2","B29"
"90","heaB_5","B30"
